nb,xg,yg,zg,volpix,volmarch,surfacemarch,sphericity,Ixx,Iyy,Izz,Ixy,Iyz,Izx,I1,I2,I3,vI1x,vI1y,vI1z,vI2x,vI2y,vI2z,vI3x,vI3y,vI3z,Fab,Fac,Fbc,a_ellipsoid,b_ellipsoid,c_ellipsoid,a_box,b_box,c_box,xmin,xmax,ymin,ymax,zmin,zmax,border,eq_diam,amin,amax,bmin,bmax,cmin,cmax
1,512.070,308.977,149.140,43,37.500,74.172,0.730,106.140,161.953,217.767,84.930,9.860,-16.581,42.542,219.176,224.143,-0.806,0.582,-0.109,-0.138,-0.363,-0.921,-0.576,-0.727,0.373,2.904,3.266,1.124,4.395,1.513,1.346,3.543,1.220,1.085,509,515,307,312,148,151,0,4.153,0,41.174,0.000,49.063,0,69.655
2,513.600,308.133,158.800,15,11.458,31.488,0.781,10.133,22.000,23.333,2.200,0.600,1.200,9.654,21.957,23.856,-0.982,0.171,0.079,0.113,0.871,-0.478,-0.150,-0.461,-0.875,1.769,2.159,1.221,2.186,1.236,1.012,1.762,0.996,0.816,512,516,307,309,158,160,0,2.797,0,137.970,-79.041,0.000,0,111.995
3,592.500,429.875,567.125,16,12.396,30.608,0.846,13.500,17.750,19.750,3.000,1.750,-0.000,11.863,18.000,21.137,-0.873,0.476,-0.106,-0.426,-0.640,0.640,-0.237,-0.603,-0.761,1.348,1.768,1.311,1.918,1.422,1.085,1.546,1.146,0.874,591,594,429,431,566,568,0,2.871,0,110.574,0.000,49.586,0,243.083
4,865.077,1222.000,590.731,26,22.125,43.923,0.868,25.115,44.962,47.846,4.000,-0.000,1.462,24.252,45.703,47.968,-0.980,0.189,0.061,-0.181,-0.976,0.123,-0.083,-0.110,-0.991,1.618,1.777,1.098,2.476,1.531,1.394,1.996,1.234,1.123,863,867,1221,1223,590,592,0,3.483,0,104.423,0.000,225.165,0,139.923
5,983.130,750.043,607.261,23,19.437,39.486,0.885,21.391,35.043,35.565,1.130,-0.739,-2.217,20.980,34.528,36.492,-0.987,0.072,-0.146,0.021,-0.835,-0.550,-0.162,-0.546,0.822,1.477,1.622,1.098,2.232,1.511,1.376,1.799,1.218,1.109,981,985,749,751,606,608,0,3.336,0,186.856,0.000,173.653,0,14.244
6,707.340,700.360,1094.920,50,43.604,82.020,0.730,97.200,266.900,308.740,87.120,11.560,-29.360,56.493,303.599,312.748,-0.914,0.385,-0.124,-0.378,-0.922,-0.082,0.146,0.029,-0.989,2.920,3.439,1.178,4.711,1.613,1.370,3.797,1.300,1.104,703,711,698,703,1094,1096,0,4.367,0,80.760,0.000,149.541,0,142.494
