nb,xg,yg,zg,volpix,volmarch,surfacemarch,sphericity,Ixx,Iyy,Izz,Ixy,Iyz,Izx,I1,I2,I3,vI1x,vI1y,vI1z,vI2x,vI2y,vI2z,vI3x,vI3y,vI3z,Fab,Fac,Fbc,a_ellipsoid,b_ellipsoid,c_ellipsoid,a_box,b_box,c_box,xmin,xmax,ymin,ymax,zmin,zmax,border,eq_diam,amin,amax,bmin,bmax,cmin,cmax
1,964.014,977.357,140.657,140,131.833,197.840,0.633,1379.686,603.514,1872.114,332.714,58.857,-57.686,476.359,1499.783,1879.172,-0.348,0.936,-0.054,-0.932,-0.352,-0.089,0.102,-0.019,-0.995,1.842,5.471,2.971,6.819,3.703,1.246,5.496,2.984,1.005,960,968,972,983,140,142,0,6.315,-42.291,0.000,0.000,81.530,0.000,5.198
2,966.000,988.156,140.533,45,40.271,76.657,0.741,167.111,77.200,221.911,19.000,-1.267,2.000,73.332,170.904,221.986,0.199,-0.980,-0.011,0.979,0.199,-0.033,-0.035,0.004,-0.999,1.603,3.790,2.365,3.880,2.421,1.024,3.127,1.951,0.825,963,968,985,991,140,141,0,4.253,0.000,95.338,-136.928,0.000,0.000,21.086
3,713.529,719.412,986.882,51,45.000,85.044,0.719,87.647,314.000,351.059,91.118,-2.471,-2.176,55.521,344.664,352.521,-0.943,0.332,-0.004,-0.298,-0.852,-0.431,0.147,0.405,-0.903,3.182,3.669,1.153,5.006,1.573,1.364,4.034,1.268,1.100,710,717,718,722,986,988,0,4.413,0.000,63.048,0.000,168.663,0.000,67.554
4,257.786,710.607,1120.714,28,24.000,49.780,0.808,32.393,72.429,57.393,1.357,0.143,15.714,24.785,64.904,72.525,-0.901,0.024,0.434,-0.430,0.095,-0.898,0.063,0.995,0.075,1.864,2.562,1.374,3.013,1.616,1.176,2.429,1.303,0.948,255,260,710,712,1119,1122,0,3.579,-48.009,0.000,0.000,176.909,-135.735,0.000
5,251.296,716.222,1120.815,27,21.937,53.385,0.710,116.741,19.704,116.296,10.778,-10.111,1.519,17.465,117.143,118.133,-0.109,0.989,0.103,0.447,0.141,-0.883,-0.888,-0.050,-0.458,3.435,3.636,1.058,4.029,1.173,1.108,3.248,0.945,0.893,250,252,713,719,1120,1122,0,3.473,-187.538,0.000,0.000,180.589,0.000,179.614
